Kategooria;Mark;Mudel;Keretüüp;Esm reg aasta;Mootori tüüp;Mootori võimsus;Mootori maht;CO2;Istekohti;Telgi kokku;Registrimass;Tühimass;Täismass;Värv;Maakond;Linn;Tüüp;Arv;Kuu
M1;ALFA ROMEO;STELVIO;UNIVERSAAL;2020;BENSIIN_KATALYSAATOR;206;1995;161;5;2;2350;1837;2350;PUNANE;HARJU MAAKOND;Määramata;Juriidiline;1;9
M1;ALFA ROMEO;STELVIO;UNIVERSAAL;2020;BENSIIN_KATALYSAATOR;206;1995;161;5;2;2350;1838;2350;MUST;TARTU MAAKOND;Tartu linn;Juriidiline;1;9
M1;AUDI;A4 ALLROAD QUATTRO;UNIVERSAAL;2020;DIISEL;140;1968;148;5;2;2250;1823;2250;MUST;HARJU MAAKOND;Tallinn;Juriidiline;1;9
M1;AUDI;A4 LIMOUSINE;SEDAAN;2020;BENSIIN_HYBRIID;140;1984;137;5;2;2040;1648;2040;MUST;HARJU MAAKOND;Tallinn;Juriidiline;1;9
M1;AUDI;A5 SPORTBACK;LUUKPÄRA;2020;BENSIIN_HYBRIID;140;1984;148;5;2;2070;1651;2070;MUST;HARJU MAAKOND;Tallinn;Füüsiline;1;9
M1;AUDI;A6 LIMOUSINE;SEDAAN;2020;BENSIIN_HYBRIID;180;1984;162;5;2;2230;1842;2230;MUST;HARJU MAAKOND;Tallinn;Juriidiline;2;9
M1;AUDI;A6 LIMOUSINE;SEDAAN;2020;BENSIIN_HYBRIID;250;2995;186;5;2;2400;1997;2400;MUST;HARJU MAAKOND;Tallinn;Juriidiline;2;9
M1;AUDI;Q2;UNIVERSAAL;2020;BENSIIN_KATALYSAATOR;110;1498;131;5;2;1880;1423;1880;MUST;JÕGEVA MAAKOND;Määramata;Juriidiline;1;9
M1;AUDI;Q2;UNIVERSAAL;2020;BENSIIN_KATALYSAATOR;110;1498;131;5;2;1880;1425;1880;HALL;HARJU MAAKOND;Tallinn;Füüsiline;1;9
M1;AUDI;Q2;UNIVERSAAL;2020;BENSIIN_KATALYSAATOR;110;1498;131;5;2;1880;1425;1880;PUNANE;HARJU MAAKOND;Tallinn;Juriidiline;1;9
M1;AUDI;Q3;UNIVERSAAL;2020;BENSIIN_HYBRIID;110;1498;145;5;2;2075;1631;2075;HALL;HARJU MAAKOND;Määramata;Füüsiline;1;9
M1;AUDI;Q3;UNIVERSAAL;2020;BENSIIN_HYBRIID;110;1498;145;5;2;2075;1631;2075;HÕBEDANE;HARJU MAAKOND;Tallinn;Juriidiline;1;9
M1;AUDI;Q3;UNIVERSAAL;2020;DIISEL;110;1968;126;5;2;2145;1684;2145;HALL;HARJU MAAKOND;Tallinn;Juriidiline;4;9
