Year;Petrol;Diesel
2006;287.6024184;245.4207304
2007;287.6024184;245.4207304
2008;359.1834648;330.1036647
2009;359.1834648;330.1036647
2010;422.775555072668;392.9288152
2011;422.775555072668;392.9288152
2012;422.775555072668;392.9288152
2013;422.775555072668;392.9288152
2014;422.775555072668;392.9288152
2015;422.775555072668;392.9288152
2016;465;448
2017;512;493
2018;563;493
2019;563;493
2020;563;372
