Kategooria;Mark;Mudel;Keretüüp;Esm reg aasta;Mootori tüüp;Mootori võimsus;Mootori maht;CO2;Istekohti;Telgi kokku;Registrimass;Tühimass;Täismass;Värv;Maakond;Linn;Tüüp;Arv;Kuu
M1;AUDI;A3;LUUKPÄRA;2011;Diisel;77;1598;;;;;;;must;Harjumaa;;;1;1
M1;AUDI;A4 ALLROAD;UNIVERSAAL;2011;Bensiin kat.;155;1984;;;;;;;pruun;Harjumaa;;;1;1
M1;AUDI;A4 AVANT;UNIVERSAAL;2011;Bensiin kat.;118;1798;;;;;;;tumesinine;Harjumaa;;;1;1
M1;AUDI;A6;SEDAAN;2011;Bensiin kat.;125;1984;;;;;;;must;Harjumaa;;;1;1
M1;AUDI;A6 ALLROAD;UNIVERSAAL;2011;Diisel;176;2967;;;;;;;hõbedane;Harjumaa;;;1;1
M1;AUDI;A7;LUUKPÄRA;2011;Bensiin kat.;150;2773;;;;;;;hõbedane;Harjumaa;;;1;1
M1;AUDI;A7;LUUKPÄRA;2011;Diisel;180;2967;;;;;;;tumehall;Harjumaa;;;1;1
M1;AUDI;A7;LUUKPÄRA;2011;Diisel;180;2967;;;;;;;hall;Harjumaa;;;1;1
M1;AUDI;A8;SEDAAN;2011;Bensiin kat.;273;4163;;;;;;;beeþ;Harjumaa;;;1;1
M1;BMW;318I;SEDAAN;2011;Bensiin kat.;105;1995;;;;;;;kuldne;Harjumaa;;;1;1
M1;BMW;520D;SEDAAN;2011;Diisel;135;1995;;;;;;;valge;Harjumaa;;;1;1
M1;BMW;525D;SEDAAN;2011;Diisel;150;2993;;;;;;;hall;Harjumaa;;;1;1
M1;BMW;ACTIVEHYBRID 7L;SEDAAN;2011;Bensiin hübriid;330;4395;;;;;;;tumesinine;Harjumaa;;;1;1
M1;BMW;X1;UNIVERSAAL;2011;Diisel;105;1995;;;;;;;tumesinine;Harjumaa;;;1;1
